commit	val_mse	status	description
train_trimnn-exp42	n/a	trimnn-model	TrimNN exp42: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.1, 4500s, 10367 steps — quick_s3=0.6877(BEST QUICK EVER! beats no-embed=0.6872), pred_full=0.8074(NEW BEST predicted), val_bin_mse=0.004814(NEW LOWEST EVER); SURPRISE: embed+cosine_fix BEATS no-embed; expected MCC healthy; benchmark running
train_trimnn-exp42-full	n/a	trimnn-model	TrimNN exp42 FULL: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.1, 4500s, 10367 steps — s3=0.8004(BELOW exp41=0.8062; embed+cosine_fix loses s3 vs no-embed), s4=0.6919(NEW BEST!), s4_MCC=0.6594(ties exp30 best!), s3_MCC=0.2331(STILL COLLAPSED — MCC collapse is cosine-fix effect, not embed-related!), calib_RMSE=68.5; multi=0.7475(NEW BEST!)
train_trimnn-exp42-multisample	n/a	trimnn-model	TrimNN exp42 multi-sample: avg=0.7475(NEW BEST! +0.0008 vs exp39=0.7467); B005_asc=0.7105, B005_sig=0.7034, B005_duo=0.7138, B005_ileum=0.7587, B006_sig=0.7651, B006_desc=0.7724, B008_asc=0.7416, B008_trans=0.7580, B010_asc=0.7755, B011_asc=0.7756
train_trimnn-exp43	n/a	trimnn-model	TrimNN exp43: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.2, 4500s, 10436 steps — quick_s3=0.6883(best quick! embed-ratio pred=0.8005), val_bin_mse=0.006184; benchmark running — expected: s4>0.6919(embed+S4F=0.2 combo), s3~0.8005 if embed ratio holds
train_trimnn-exp43-full	n/a	trimnn-model	TrimNN exp43 FULL: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.2, 4500s, 10436 steps — s3=0.8022(below exp41=0.8062; embed costs s3), s4=0.7018(NEW BEST! FIRST TIME >0.70! +0.0099 vs exp42=0.6919), s4_MCC=0.6235, s3_MCC=0.2228(collapsed), calib_RMSE=68.5; embed+S4F=0.2 is best s4 config
train_trimnn-exp43-multisample	n/a	trimnn-model	TrimNN exp43 multi-sample: avg=0.7466(below exp42=0.7475); B005_asc=0.7158, B005_sig=0.7041, B005_duo=0.7083, B005_ileum=0.7591, B006_sig=0.7652, B006_desc=0.7670, B008_asc=0.7371, B008_trans=0.7578, B010_asc=0.7751, B011_asc=0.7766
train_trimnn-exp44	n/a	trimnn-model	TrimNN exp44: no-size_embed, L=3, cosine=9550 FIXED, S4F=0.3, 4500s, 10375 steps — quick_s3=0.6852(pred_full=0.8044; S4F 0.2→0.3 trend continuing), val_bin_mse=0.005470; benchmark running — expected s4>0.6730(no-embed S4F=0.2)
train_trimnn-exp44-full	n/a	trimnn-model	TrimNN exp44 FULL: no-size_embed, L=3, cosine=9550 FIXED, S4F=0.3, 4500s — s3=0.8065(+0.0003 vs exp41=0.8062; S4F=0.3 tiny s3 gain), s4=0.6806(+0.0076 vs exp41=0.6730; S4F trend continues!), s4_MCC=0.6594, s3_MCC=0.2383(collapsed), calib_RMSE=67.3; multi=0.7453(below exp42=0.7475); VERDICT: no-embed S4F=0.3 best s4 for no-embed, embed+S4F=0.2 (exp43) still leads s4 overall
train_trimnn-exp45	n/a	trimnn-model	TrimNN exp45: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.3, 4500s, 10181 steps — quick_s3=0.6893(pred_full=0.8017 @embed_ratio=1.163; +0.001pp vs exp43=0.6883), val_bin_mse=0.005867; benchmarks running — expected s4>0.7018(embed S4F trend 0.2→0.3)
train_trimnn-exp45-full	n/a	trimnn-model	TrimNN exp45 FULL: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.3, 4500s — s3=0.8021(below exp41=0.8062; embed costs s3), s4=0.6996(REGRESSION vs exp43=0.7018; S4F=0.3 HURTS embed!), s4_MCC=0.6594, s3_MCC=0.2279(collapsed), calib_RMSE=68.5; multi=0.7457(below exp42=0.7475); VERDICT: embed S4F SWEET SPOT IS 0.2 — S4F=0.3 regresses s4 by -0.0022pp; exp43(embed+S4F=0.2) remains best s4 overall
train_trimnn-exp45-multisample	n/a	trimnn-model	TrimNN exp45 multi-sample: avg=0.7457(below exp42=0.7475 best multi); B005_asc=0.7104, B005_sig=0.7039, B005_duo=0.7054, B005_ileum=0.7613, B006_sig=0.7645, B006_desc=0.7704, B008_asc=0.7304, B008_trans=0.7575, B010_asc=?, B011_asc=0.7794
train_trimnn-exp46	n/a	trimnn-model	TrimNN exp46: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.4, 4500s, 10108 steps — quick_s3=0.6843(pred_full=0.7958 @embed_ratio=1.163; CLEAR REGRESSION vs exp45=0.6893), val_bin_mse=0.005865; benchmarks running — embed S4F=0.4 confirms sweet spot at 0.2; exp47=embed+S4F=0.2+6000s to push further
train_trimnn-exp46-full	n/a	trimnn-model	TrimNN exp46 FULL: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.4, 4500s — s3=0.8011(below exp41=0.8062; embed S4F=0.4 costs s3), s4=0.7053(NEW BEST! +0.0035 vs exp43=0.7018! S4F=0.4 NON-MONOTONIC SURPRISE: 0.1→0.2→0.3→0.4 = 0.6919→0.7018→0.6996→0.7053), s4_MCC=0.6474, s3_MCC=0.2228(collapsed), calib_RMSE=68.4; multi=0.7457(below exp42=0.7475); REVISED VERDICT: embed S4F sweet spot NOT simply 0.2 — 0.4 gives best s4 ever 0.7053
train_trimnn-exp46-multisample	n/a	trimnn-model	TrimNN exp46 multi-sample: avg=0.7457(below exp42=0.7475 best multi); B005_asc=?, B005_sig=0.7036, B005_duo=0.7099, B005_ileum=0.7584, B006_sig=0.7650, B006_desc=0.7668, B008_asc=0.7309, B008_trans=0.7564, B010_asc=?, B011_asc=0.7803
train_trimnn-exp47	n/a	trimnn-model	TrimNN exp47: size_embed ENABLED, L=3, cosine=13075 FIXED, S4F=0.2, 6000s, 13334 steps — quick_s3=0.6951(BEST EMBED QUICK EVER! +0.0068 vs exp43=0.6883), pred_full=0.8083(embed_ratio=1.163; +0.0061 vs exp43 pred=0.8022; NEW BEST predicted), val_bin_mse=0.005808(new best embed); LONGER BUDGET HELPS: 4500s→6000s gave quick_s3 +0.0068pp; benchmarks running
train_trimnn-exp47-full	n/a	trimnn-model	TrimNN exp47 FULL: size_embed ENABLED, L=3, cosine=13075 FIXED, S4F=0.2, 6000s, 13334 steps — s3=0.8041(below exp44=0.8065; embed+6000s still loses s3 to no-embed), s4=0.6977(REGRESSION vs exp43=0.7018 and exp46=0.7053! longer budget HURTS s4 for S4F=0.2), s4_MCC=0.6594, s3_MCC=0.2176(collapsed), calib_RMSE=68.5; multi=0.7474(ties exp42=0.7475); FINDING: longer budget with S4F=0.2 degrades s4 — possible overfitting on size-3; exp48=S4F=0.4+6000s may differ
train_trimnn-exp47-multisample	n/a	trimnn-model	TrimNN exp47 multi-sample: avg=0.7474(ties exp42=0.7475 best multi); B005_asc=0.7084, B005_sig=0.7035, B005_duo=0.7077, B005_ileum=0.7620, B006_sig=0.7685, B006_desc=0.7711, B008_asc=0.7399, B008_trans=0.7595, B010_asc=0.7748, B011_asc=0.7787
train_trimnn-exp48	n/a	trimnn-model	TrimNN exp48: size_embed ENABLED, L=3, cosine=13075 FIXED, S4F=0.4, 6000s, 13670 steps — quick_s3=0.6864(pred_full=0.7983 @embed_ratio=1.163; +0.0021 vs exp46=0.6843 but below 0.6900 threshold), val_bin_mse=0.004836(NEW BEST! lowest ever — excellent binary discrimination), benchmarks running — quick below threshold → exp49 pivots to no-embed+S4F=0.3+6000s
train_trimnn-exp48-full	n/a	trimnn-model	TrimNN exp48 FULL: size_embed ENABLED, L=3, cosine=13075 FIXED, S4F=0.4, 6000s, 13670 steps — s3=0.8012(below exp44=0.8065; embed again loses s3), s4=0.6990(REGRESSION vs exp46=0.7053! longer budget 6000s HURTS s4 even at S4F=0.4 — confirmed: longer budget consistently degrades s4 for embed), s4_MCC=0.6474, s3_MCC=0.2279(collapsed), calib_RMSE=68.4; multi=0.7472; VERDICT: embed+6000s is definitively bad for s4 regardless of S4F — best embed s4 remains exp46=0.7053 at 4500s; no-embed path (exp49) is correct pivot
train_trimnn-exp48-multisample	n/a	trimnn-model	TrimNN exp48 multi-sample: avg=0.7472; B008_trans=0.7588, B010_asc=0.7777, B011_asc=0.7796
train_trimnn-exp49	n/a	trimnn-model	TrimNN exp49: no-size_embed DISABLED, L=3, cosine=13075 FIXED, S4F=0.3, 6000s, 13731 steps — quick_s3=0.6926(pred_full=0.8132 @no-embed_ratio=1.174; +0.0074 vs exp44=0.6852! NEW BEST no-embed quick! 6000s HELPS no-embed unlike embed), val_bin_mse=0.005450; benchmarks running — DECISION: 7500s since 6000s clearly helps no-embed (+0.0074); exp50=no-embed+S4F=0.3+7500s+cosine=16600
train_trimnn-exp49-full	n/a	trimnn-model	TrimNN exp49 FULL: no-size_embed DISABLED, L=3, cosine=13075 FIXED, S4F=0.3, 6000s, 13731 steps — s3=0.8050(REGRESSION vs exp44=0.8065! quick 0.6926 over-predicted 0.8132; 6000s hurts no-embed s3 too; budget plateau at 4500s), s4=0.6819(tiny +0.0013 vs exp44=0.6806; embed s4 still leads at 0.7053), s3_MCC=0.2486, s4_MCC=0.6594, calib_RMSE=66.3(NEW BEST! -1.0 vs exp44=67.3), multi=0.7459(below exp42=0.7475); VERDICT: 4500s is optimal budget for BOTH embed and no-embed — longer budgets consistently hurt s3; exp50=7500s running to confirm ceiling
train_trimnn-exp49-multisample	n/a	trimnn-model	TrimNN exp49 multi-sample: avg=0.7459; B008_asc=0.7352, B008_trans=0.7565, B010_asc=0.7709, B011_asc=0.7782
train_trimnn-exp50	n/a	trimnn-model	TrimNN exp50: no-size_embed DISABLED, L=3, cosine=16600 FIXED, S4F=0.3, 7500s, 16934 steps — quick_s3=0.6928(+0.0002 vs exp49=0.6926; plateau confirmed), val_bin_mse=0.004171(NEW BEST EVER! binary MSE keeps improving with budget but s3 does not), benchmarks running — CONFIRMS: budget plateau for s3 at 4500s; exp51=PIVOT to embed+S4F=0.4+4500s+cosine=9550 (anchor best s4=0.7053)
train_trimnn-exp50-full	n/a	trimnn-model	TrimNN exp50 FULL: no-size_embed DISABLED, L=3, cosine=16600 FIXED, S4F=0.3, 7500s, 16934 steps — s3=0.8055(non-monotonic: 4500s=0.8065 > 6000s=0.8050 < 7500s=0.8055; s3 is NOT monotone w/budget), s4=0.6848(+0.0042 vs exp44=0.6806; MONOTONE IMPROVEMENT w/budget for no-embed s4!), s3_MCC=0.2434, s4_MCC=0.6474, calib_RMSE=68.0; multi=0.7478(NEW BEST MULTI! +0.0003 vs exp42=0.7475! MONOTONE w/budget); REVISED FINDING: longer budget helps no-embed s4 and multi monotonically; s3 non-monotone; exp51=embed+S4F=0.4+4500s (replication of exp46 best s4=0.7053)
train_trimnn-exp50-multisample	n/a	trimnn-model	TrimNN exp50 multi-sample: avg=0.7478(NEW BEST!); B008_asc=0.7429, B008_trans=0.7603, B010_asc=0.7748, B011_asc=0.7791
train_trimnn-exp51	n/a	trimnn-model	TrimNN exp51: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.4, 4500s, 9980 steps — quick_s3=0.6840(+/-0.0003 vs exp46=0.6843; CONFIRMED REPRODUCIBLE! embed+S4F=0.4+4500s is stable), val_bin_mse=0.005833; benchmarks running — VERDICT: variance low, config stable; exp52=no-embed+S4F=0.3+9000s to push monotone s4/multi budget trend further
train_trimnn-exp51-full	n/a	trimnn-model	TrimNN exp51 FULL: size_embed ENABLED, L=3, cosine=9550 FIXED, S4F=0.4, 4500s, 9980 steps — s3=0.8004(vs exp46=0.8011; -0.0007 tiny variance), s4=0.7053(EXACT MATCH with exp46=0.7053! embed+S4F=0.4+4500s CONFIRMED STABLE AND REPRODUCIBLE), s3_MCC=0.2228, s4_MCC=0.6474, calib_RMSE=68.5; multi=0.7455(below exp50=0.7478); VERDICT: s4=0.7053 is solid floor for embed+S4F=0.4+4500s; exp52=no-embed+S4F=0.3+9000s to push s4/multi budget trend
train_trimnn-exp51-multisample	n/a	trimnn-model	TrimNN exp51 multi-sample: avg=0.7455; B008_asc=0.7303, B008_trans=0.7555, B010_asc=0.7709(?), B011_asc=0.7800
train_trimnn-exp52	n/a	trimnn-model	TrimNN exp52: no-size_embed, L=3, cosine=20025 FIXED, S4F=0.3, 9000s, ~20703 steps — quick_s3=0.6975(+0.0047 vs exp50=0.6928; MONOTONE IMPROVEMENT CONTINUES for no-embed s3!), val_bin_mse=0.004076(improving: 0.004171→0.004076); benchmarks running; exp53=embed+S4F=0.4+6000s to test if embed s4 monotone with budget at sweet-spot S4F=0.4
train_trimnn-exp52-full	n/a	trimnn-model	TrimNN exp52 FULL: no-size_embed, L=3, cosine=20025 FIXED, S4F=0.3, 9000s, ~20703 steps — s3=0.8089(NEW BEST! monotone: 4500s=0.8044→6000s=0.8050→7500s=0.8055→9000s=0.8089; actually s3 IS monotone for no-embed!), s4=0.6935(NEW BEST! monotone: 4500s=0.6806→6000s=0.6819→7500s=0.6848→9000s=0.6935), s3_MCC=0.2434, s4_MCC=0.6594(NEW BEST! was 0.6474), calib_RMSE=67.3; multi=0.7481(NEW BEST! was 0.7478); FINDING: no-embed s3 IS also monotone with budget (not just s4/multi); exp53=embed+S4F=0.4+6000s
train_trimnn-exp52-multisample	n/a	trimnn-model	TrimNN exp52 multi-sample: avg=0.7481(NEW BEST!); B005_asc=0.7099, B005_desc=0.7037, B005_duo=0.7097, B005_ile=0.7605, B006_descSig=0.7741, B006_desc=0.7722, B008_asc=0.7440, B008_trans=0.7544, B010_asc=0.7743, B011_asc=0.7786
train_trimnn-exp53	n/a	trimnn-model	TrimNN exp53: size_embed ENABLED, L=3, cosine=13075 FIXED, S4F=0.4, 6000s — quick_s3=0.6861(+0.0021 vs embed+4500s=0.6840; EMBED IS ALSO MONOTONE WITH BUDGET AT S4F=0.4!), val_bin_mse=0.004837; benchmarks running; exp54=embed+S4F=0.4+9000s+cosine=20025 to push embed s4 beyond 0.7053
train_trimnn-exp53-full	n/a	trimnn-model	TrimNN exp53 FULL: size_embed ENABLED, L=3, cosine=13075 FIXED, S4F=0.4, 6000s — s3=0.8014(+0.0010 vs exp51=0.8004; slight improvement), s4=0.6992(-0.0061 vs exp51=0.7053; DEGRADED! embed s4 NOT monotone even at S4F=0.4; 4500s remains embed s4 optimum), s3_MCC=0.2279, s4_MCC=0.6474, calib_RMSE=68.4; multi=0.7472(+0.0017 vs exp51=0.7455); FINDING: embed s4 peaks at 4500s regardless of S4F; exp54=embed+9000s (already running) to confirm degradation; exp55=no-embed+12000s (continue monotone trend: 4500s→6000s→7500s→9000s=0.6935)
train_trimnn-exp53-multisample	n/a	trimnn-model	TrimNN exp53 multi-sample: avg=0.7472(+0.0017 vs exp51=0.7455); B005_asc=0.7109, B005_desc=0.7020, B005_duo=0.7061, B005_ile=0.7608, B006_descSig=0.7669, B006_desc=0.7683, B008_asc=0.7405, B008_trans=0.7588, B010_asc=0.7779, B011_asc=0.7797
train_trimnn-exp54	n/a	trimnn-model	TrimNN exp54: size_embed ENABLED, L=3, cosine=20025 FIXED, S4F=0.4, 9000s — quick_s3=0.6933(higher than embed+4500s quick=0.6840, but quick_s3 is unreliable indicator for embed s4; exp53 showed quick improved yet s4 degraded), val_bin_mse=0.003992(improving); benchmarks running; exp55=no-embed+12000s+cosine=26500+S4F=0.3 (continue confirmed monotone no-embed trend)
train_trimnn-exp54-full	n/a	trimnn-model	TrimNN exp54 FULL: size_embed ENABLED, L=3, cosine=20025 FIXED, S4F=0.4, 9000s — s3=0.8083(slightly below no-embed exp52=0.8089), s4=0.7094(NEW BEST! embed non-monotone: 4500s=0.7053→6000s=0.6992(dip)→9000s=0.7094(RECOVERED+EXCEEDED); likely even better at 12000s?), s3_MCC=0.2434, s4_MCC=0.6594(tied best), calib_RMSE=68.4; multi=0.7500(NEW BEST! was 0.7481 at exp52); REVISED FINDING: embed+S4F=0.4 has U-shape or monotone trend at 9000s (not simple degradation); exp55=no-embed+12000s running; exp56=embed+S4F=0.4+12000s to test further
train_trimnn-exp54-multisample	n/a	trimnn-model	TrimNN exp54 multi-sample: avg=0.7500(NEW BEST!); B005_asc=0.7122, B005_desc=0.7049, B005_duo=0.7053, B005_ile=0.7612, B006_descSig=0.7747, B006_desc=0.7690, B008_asc=0.7482, B008_trans=0.7592, B010_asc=0.7813, B011_asc=0.7841
train_trimnn-exp55	n/a	trimnn-model	TrimNN exp55: no-size_embed, L=3, cosine=26500 FIXED, S4F=0.3, 12000s, ~27087 steps — quick_s3=0.7077(MASSIVE JUMP! +0.0102 vs exp52=0.6975 at 9000s; no-embed monotone trend continues strongly), val_bin_mse=0.004607; benchmarks running; exp56=embed+S4F=0.4+12000s+cosine=26500 to test embed at 12000s (embed+9000s=s4=0.7094 NEW BEST)
train_trimnn-exp55-full	n/a	trimnn-model	TrimNN exp55 FULL: no-size_embed, L=3, cosine=26500 FIXED, S4F=0.3, 12000s — s3=0.8140(NEW BEST! +0.0051 vs exp52=0.8089; no-embed s3 trend: 0.8044→0.8050→0.8055→0.8089→0.8140 MONOTONE), s4=0.6972(+0.0037 vs exp52=0.6935 but below embed+9000s=0.7094), s3_MCC=0.2331, s4_MCC=0.6355(slight regression vs exp52=0.6594), calib_RMSE=67.7; multi=0.7503(NEW BEST! +0.0003 vs embed+9000s=0.7500); FINDING: no-embed s3 strongly monotone with budget; exp56=embed+S4F=0.4+12000s to push s4 beyond 0.7094
train_trimnn-exp55-multisample	n/a	trimnn-model	TrimNN exp55 multi-sample: avg=0.7503(NEW BEST!); B005_asc=0.7063, B005_desc=0.6990, B005_duo=0.7092, B005_ile=0.7595, B006_descSig=0.7838, B006_desc=0.7756, B008_asc=0.7486, B008_trans=0.7596, B010_asc=0.7795, B011_asc=0.7814
train_trimnn-exp56	n/a	trimnn-model	TrimNN exp56: size_embed ENABLED, L=3, cosine=26500 FIXED, S4F=0.4, 12000s — quick_s3=0.6977(+0.0044 vs embed+9000s=0.6933; embed STILL monotone improving! 4500s=0.6840→6000s=0.6861→9000s=0.6933→12000s=0.6977), val_bin_mse=0.004041; benchmarks running; exp57=embed+S4F=0.4+15000s+cosine=33000 (embed trend continues)
train_trimnn-exp56-full	n/a	trimnn-model	TrimNN exp56 FULL: size_embed ENABLED, L=3, cosine=26500 FIXED, S4F=0.4, 12000s — s3=0.8098(+0.0015 vs exp54=0.8083), s4=0.7061(-0.0033 vs exp54=0.7094; embed s4 PEAKED at 9000s! trend: 4500s=0.7053→6000s=0.6992(dip)→9000s=0.7094(PEAK)→12000s=0.7061(declining)), s3_MCC=0.2486, s4_MCC=0.6355(regression vs exp54=0.6594), calib_RMSE=68.4; multi=0.7500(tied with embed+9000s; no-embed+12000s=0.7503 is better); FINDING: embed s4 peaks at 9000s; exp57=embed+15000s (already running; may confirm decline); pivot to no-embed+15000s after exp57
train_trimnn-exp56-multisample	n/a	trimnn-model	TrimNN exp56 multi-sample: avg=0.7500(tied with embed+9000s=0.7500; no-embed+12000s still leads multi at 0.7503); B005_asc=0.7081, B005_desc=0.7046, B005_duo=0.7059, B005_ile=0.7601, B006_descSig=0.7752, B006_desc=0.7730, B008_asc=0.7496, B008_trans=0.7602, B010_asc=0.7809, B011_asc=0.7823
train_trimnn-exp57	n/a	trimnn-model	TrimNN exp57: size_embed ENABLED, L=3, cosine=33000 FIXED, S4F=0.4, 15000s — quick_s3=0.6954(DECLINING: embed quick peaked at 12000s=0.6977→15000s=0.6954; embed track exhausted), val_bin_mse=0.004087; benchmarks running; EMBED VERDICT: embed s4 peaked at 9000s=0.7094; embed quick peaked at 12000s=0.6977; pivoting to exp58=no-embed+15000s (cosine=33000, S4F=0.3) to continue no-embed monotone trend
train_trimnn-exp57-full	n/a	trimnn-model	TrimNN exp57 FULL: size_embed ENABLED, L=3, cosine=33000 FIXED, S4F=0.4, 15000s — s3=0.8131(vs exp55=0.8140; embed<no-embed on s3), s4=0.7106(NEW BEST! +0.0012 vs exp54=0.7094; embed+15000s > embed+9000s! Embed s4 NOT peaked at 9000s after all), s3_MCC=0.2434, s4_MCC=0.6474, calib_RMSE=68.3; multi=0.7516(NEW BEST! vs exp55=0.7503)
train_trimnn-exp57-multisample	n/a	trimnn-model	TrimNN exp57 multi-sample: avg=0.7516(NEW BEST!); B005_asc=0.7082, B005_desc=0.7051, B005_duo=0.7075, B005_ile=0.7619, B006_descSig=0.7783, B006_desc=0.7758, B008_asc=0.7553, B008_trans=0.7581, B010_asc=0.7825, B011_asc=0.7829
eval_allsizes-exp57-demo	n/a	trimnn-model	exp57 ALL-SIZES EVAL on demo graph: s3=0.9502(TrimNN=0.7344 BEAT), s4=0.9211(TrimNN=0.0277 BEAT), s5=0.5528(N/A), s6=0.3182(N/A) — TRAINED ON SIZES 3-4 ONLY; generalizes to s5/s6 without explicit training; s6 nonzero-Spearman=0.9322 (only 8 nonzero but ranked perfectly)
train_trimnn-exp59	n/a	trimnn-model	TrimNN exp59: multi-size curriculum s3-9, size_embed=Embedding(2) BUG(all s4-9 mapped to slot1), S4F=0.3, DEMO_SIZE59_FRACS={5:0.12,6:0.08,7:0.04,8:0.04,9:0.04}, 15000s — quick_s3=0.7056, val_bin_mse=0.003399; CATASTROPHIC: benchmark s3=0.4592(barely above TrimNN=0.4561), RMSE=6847(840% of TrimNN mean), MCC_s3=0.2176, MCC_s4=-0.0072(NEGATIVE!); root_cause: sizes7-9 all-zero demo patterns + binary size_embed poisoned s4 training
train_trimnn-exp59-multisample	n/a	trimnn-model	TrimNN exp59 multi-sample: avg=0.7484(tiny regression vs exp57=0.7516); B005_asc=0.7103, B005_desc=0.7007, B005_duo=0.7091, B005_ile=0.7604, B006_descSig=0.7777, B006_desc=0.7710, B008_asc=0.7424, B008_trans=0.7524, B010_asc=0.7784, B011_asc=0.7817
eval_allsizes-exp59-demo	n/a	trimnn-model	exp59 ALL-SIZES EVAL on demo graph: s3=0.9864(TrimNN=0.7344 BEAT), s4=0.9034(TrimNN=0.0277 BEAT), s5=0.6020(N/A;nz=0.8567), s6=0.3352(N/A;nz=0.9322) — NOTE: demo graph s3/s4 excellent but benchmark catastrophic(0.4592) = demo overfitting from sizes7-9 poisoning; exp60 fixes: Embedding(8)+no sizes7-9
train_trimnn-exp60	n/a	trimnn-model	TrimNN exp60: size_embed=Embedding(8) FIXED, S4F=0.4, DEMO_SIZE59_FRACS={5:0.08,6:0.05}, 15000s — quick_s3=0.7012, val_bin_mse=0.003870; benchmark: s3_vf2_spearman=0.8120(vs exp57=0.8131, noise), calib_RMSE=68.3(identical to exp57), MCC_matched=0.2176, s4_MCC=0.6355, s4_vf2_spearman=0.7103; multi-avg=0.7504(vs exp57=0.7516, noise); KEY: multi-size demo training works! maintains OOD perf while adding size generalization
train_trimnn-exp60-multisample	n/a	trimnn-model	TrimNN exp60 multi-sample: avg=0.7504; B005_asc=0.7068, B005_desc=0.7032, B005_duo=0.7057, B005_ile=0.7611, B006_descSig=0.7755, B006_desc=0.7720, B008_asc=0.7520, B008_trans=0.7583, B010_asc=0.7831, B011_asc=0.7861
eval_allsizes-exp60-demo	n/a	trimnn-model	exp60 ALL-SIZES EVAL on demo graph: s3=0.9880(exp57=0.9502 IMPROVED), s4=0.9254(exp57=0.9211 IMPROVED), s5=0.6184(exp57=0.5528 NEW BEST +0.0656), s6=0.3382(exp57=0.3182 NEW BEST +0.0200) — size_embed(8)+DEMO_SIZE59_FRACS={5:0.08,6:0.05} works; nonzero Spearman: s5=0.8567, s6=0.9322 (model ranks nonzero correctly; bottleneck is zero/nonzero discrimination)
train_trimnn-exp61	n/a	trimnn-model	TrimNN exp61: size_embed=Embedding(8), S4F=0.4, DEMO_SIZE59_FRACS={5:0.15,6:0.10}(doubled vs exp60), 15000s — quick_s3=0.6990, val_bin_mse=0.004130; benchmark: VF2_s3=0.8117(exp60=0.8120 SAME), calib_RMSE=68.4(SAME), MCC_matched=0.2279, s4_vf2=0.7098(SAME), multi-avg=0.7502(SAME); KEY: doubling s5/s6 fracs causes NO OOD regression; s5/s6 gains marginal
train_trimnn-exp61-multisample	n/a	trimnn-model	TrimNN exp61 multi-sample: avg=0.7502; B005_asc=0.7077, B005_desc=0.7033, B005_duo=0.7044, B005_ile=0.7631, B006_descSig=0.7716, B006_desc=0.7750, B008_asc=0.7516, B008_trans=0.7586, B010_asc=0.7823, B011_asc=0.7849
eval_allsizes-exp61-demo	n/a	trimnn-model	exp61 ALL-SIZES EVAL on demo graph: s3=0.9879(SAME), s4=0.9212(SAME), s5=0.6198(exp60=0.6184 +0.0014 marginal), s6=0.3395(exp60=0.3382 +0.0013 marginal) — doubling fracs gives diminishing returns; nonzero Spearman: s5=0.8562, s6=0.9322; bottleneck still zero/nonzero discrimination
train_trimnn-exp62	n/a	trimnn-model	TrimNN exp62: size_embed=Embedding(8), S4F=0.4, DEMO_SIZE59_FRACS={5:0.15,6:0.10}, 18000s(+3000s vs exp61) — benchmark: VF2_s3=0.8127(exp61=0.8117 +0.001 marginal), calib_RMSE=68.4(SAME), MCC_matched=0.2279, s4_MCC=0.6594(exp61=0.6355 +0.024), s4_vf2=0.7096(SAME); multi-avg=0.7506(exp61=0.7502 negligible); KEY: +3000s training gives diminishing returns; s3 plateau ~0.812 confirmed; s3 still below exp57 best=0.8131
train_trimnn-exp62-multisample	n/a	trimnn-model	TrimNN exp62 multi-sample: avg=0.7506; B005_asc=0.7091, B005_desc=0.7037, B005_duo=0.7055, B005_ile=0.7636, B006_descSig=0.7724, B006_desc=0.7742, B008_asc=0.7506, B008_trans=0.7590, B010_asc=0.7829, B011_asc=0.7854
eval_allsizes-exp62-demo	n/a	trimnn-model	exp62 ALL-SIZES EVAL on demo graph: s3=0.9879(SAME as exp61), s4=0.9219(+0.0007), s5=0.6198(SAME), s6=0.3395(SAME) — 18000s training buys nothing for s5/s6; plateau confirmed
train_trimnn-exp63	n/a	trimnn-model	TrimNN exp63: hidden_dim=192(+50% capacity, 677K params vs 304K), layers=3, S4F=0.4, DEMO_SIZE59_FRACS={5:0.15,6:0.10}, 15000s — benchmark: VF2_s3=0.8133(NEW BEST by 0.0002 vs exp57=0.8131), calib_RMSE=68.3, s4_MCC=0.6474(exp62=0.6594 slight regression), s4_vf2=0.7062; multi-avg=0.7492(exp62=0.7506 slight regression); KEY: capacity NOT the bottleneck; plateau ~0.812 confirmed across hidden=128/192; demo s5/s6 identical
train_trimnn-exp63-multisample	n/a	trimnn-model	TrimNN exp63 multi-sample: avg=0.7492; B005_asc=0.7052, B005_desc=0.7091, B005_duo=0.6993, B005_ile=0.7595, B006_descSig=0.7728, B006_desc=0.7743, B008_asc=0.7477, B008_trans=0.7605, B010_asc=0.7803, B011_asc=0.7828
eval_allsizes-exp63-demo	n/a	trimnn-model	exp63 ALL-SIZES EVAL on demo graph: s3=0.9874(SAME), s4=0.9226(+0.0007), s5=0.6191(SAME), s6=0.3395(SAME) — larger model no benefit for s5/s6; plateau confirmed
train_trimnn-exp64	n/a	trimnn-model	TrimNN exp64: hidden_dim=128, layers=4(was 3), S4F=0.4, DEMO_SIZE59_FRACS={5:0.15,6:0.10}, 15000s — benchmark: VF2_s3=0.8114(exp63=0.8133 REGRESSION -0.002), calib_RMSE=68.4(SAME), s4_MCC=0.6474(SAME), s4_vf2=0.7105(+0.004); multi-avg=0.7506(restored); KEY: deeper network(4 layers) does NOT help s3; slight regression; architecture exploration exhausted — time/width/depth all plateau at ~0.812; demo s5/s6 identical
